1,54,3299982260,1,168,3299980131
0,70,253327989,0,380,253330324
1,32,1496898917,1,144,1496896801
0,294,2750867886,0,176,2750870221
1,150,4004189298,1,268,4004187123
0,181,962875923,0,68,962878155
1,400,2209178049,1,88,2209175875
0,268,3458976710,0,148,3458979026
1,216,413839259,1,332,413837074
0,196,1676456230,0,76,1676458543
1,352,2933744966,1,44,2933742751
0,160,4192138164,0,42,4192140466
1,22,1145650728,1,4,1145651099
0,112,2398377805,0,424,2398380102
1,196,3643052326,1,312,3643050166
0,4,598990745,0,316,598992981
1,226,1856876260,1,340,1856874119
0,96,3108198511,0,410,3108200773
1,56,56744860,1,170,56742706
0,114,1314215716,0,430,1314217997
1,116,2568124164,1,234,2568122027
0,380,3828343605,0,264,3828345910
1,122,787134081,1,240,787131961
0,32,2049301861,0,344,2049304094
1,404,3311772007,1,92,3311769829
0,112,278787916,0,428,278790170
1,396,1533985299,1,86,1533983083
0,362,2794554532,0,246,2794556857
1,20,4057194061,1,3,4057194451
0,354,1030243618,0,240,1030245943
1,250,2289536254,1,366,2289534095
0,240,3551473136,0,120,3551475433
1,26,515833301,1,6,515833713
0,144,1773466849,0,28,1773469119
1,150,3028423793,1,268,3028421619
0,214,4291014592,0,94,4291016902
1,206,1254985839,1,318,1254983731
0,122,2517825153,0,4,2517827483
1,400,3782222273,1,86,3782220139
0,32,752958821,0,342,752961103
1,132,2013279693,1,250,2013277506
0,60,3271424816,0,376,3271427034
1,52,230702053,1,166,230699900
0,406,1486733621,0,290,1486735939
1,12,2734350049,1,422,2734350442
0,38,3989019888,0,352,3989022143
1,104,955455457,1,222,955453319
0,2,2215722976,0,310,2215725269
1,62,3470498550,1,176,3470496463
0,420,444006455,0,304,444008786
1,48,1711840305,1,30,1711840676
0,232,2984423028,0,112,2984425328
1,64,4259052255,1,180,4259050111
0,356,1241801990,0,240,1241804343
1,94,2513377438,1,212,2513375322
0,1,3784941568,0,306,3784943907
1,148,753538194,1,264,753536052
0,196,2019332390,0,74,2019334753
1,8,3275841326,1,414,3275841793
0,408,244883740,0,294,244886002
1,18,1502428777,1,132,1502426622
0,342,2771838470,0,226,2771840830
